iter	Logloss
0	0.580737138
1	0.493755252
2	0.413611511
3	0.353512311
4	0.3009291346
5	0.2713862417
6	0.2506205461
7	0.2230392956
8	0.1960147372
9	0.1822472436
10	0.1627704647
11	0.1489183462
12	0.1344909252
13	0.126519952
14	0.1190772305
15	0.113012168
16	0.1126830631
17	0.1069945836
18	0.1065971615
19	0.1003064219
20	0.1000014754
21	0.09460048361
22	0.09431718725
23	0.09408949809
24	0.09367473409
25	0.08968855306
26	0.08949416316
27	0.08921815568
28	0.08533555475
29	0.08516699356
30	0.08497382149
31	0.08233704507
32	0.07996270046
33	0.07983782541
34	0.07968030767
35	0.07748126792
36	0.07682902849
37	0.07326212044
38	0.07118931594
39	0.07104446712
40	0.07092031878
41	0.07077883785
42	0.07036138967
43	0.07018691411
44	0.06754060863
45	0.06745579228
46	0.06683764239
47	0.06670535702
48	0.06659438329
49	0.0650414774
50	0.06449748668
51	0.06438170575
52	0.06383156531
53	0.06160193589
54	0.06152325468
55	0.0614724861
56	0.06002808816
57	0.0599609876
58	0.05974593183
59	0.05963607238
60	0.05957507953
61	0.05843581995
62	0.05838090244
63	0.05824497382
64	0.05813075199
65	0.05803196312
66	0.0579511855
67	0.05788132191
68	0.05783562853
69	0.05778252324
70	0.05768860998
71	0.05680973079
72	0.05671839516
73	0.05666024835
74	0.05660413827
75	0.05643778429
76	0.05626870837
77	0.05614601153
78	0.05604878799
79	0.05594532941
80	0.05586860346
81	0.05284792961
82	0.05151404078
83	0.05142214017
84	0.05136019882
85	0.04926222988
86	0.04919819454
87	0.04668304499
88	0.04660653774
89	0.04650113578
90	0.0464301724
91	0.04637141877
92	0.04630138775
93	0.04624862235
94	0.04617578668
95	0.04449341296
96	0.04277937613
97	0.0426868191
98	0.04261657051
99	0.04254385159
100	0.04245454253
101	0.04235051706
102	0.04227091166
103	0.04215895368
104	0.04210561818
105	0.04200771675
106	0.04192345947
107	0.04184440604
108	0.04177036126
109	0.039842233
110	0.03970366437
111	0.0395995547
112	0.03951566645
113	0.03946792057
114	0.03937827871
115	0.03832302441
116	0.03682245619
117	0.03676842926
118	0.03671746329
119	0.03666673397
120	0.03662614266
121	0.03654203034
122	0.03649132142
123	0.03557417901
124	0.03552862677
125	0.03548877954
126	0.03540517658
127	0.03536730224
128	0.03517008591
129	0.03512210122
130	0.03508947106
131	0.03502279073
132	0.03498307929
133	0.03493248923
134	0.03484975217
135	0.03481201382
136	0.03476104682
137	0.03457340999
138	0.03357976957
139	0.03353736785
140	0.03350092687
141	0.03346830027
142	0.03339434617
143	0.03327988348
144	0.03319688571
145	0.03316890073
146	0.03312474877
147	0.03308035354
148	0.03303441541
149	0.03211852149
150	0.03116343763
151	0.03038948585
152	0.03035151901
153	0.03030513756
154	0.03025929645
155	0.03021994938
156	0.03016507278
157	0.03010781717
158	0.03002144691
159	0.02996086805
160	0.02991777674
161	0.02989201799
162	0.0298639712
163	0.02983471785
164	0.02980710885
165	0.02976921098
166	0.02974181859
167	0.02864618036
168	0.02858497179
169	0.02855902132
170	0.02853507169
171	0.02839634381
172	0.0283756891
173	0.02834325011
174	0.02755510692
175	0.02745129627
176	0.02742206461
177	0.02739247379
178	0.02736888953
179	0.02658742055
180	0.02654720254
181	0.02651306592
182	0.0264787864
183	0.02642537453
184	0.02640476987
185	0.02637253521
186	0.02634441858
187	0.02631714052
188	0.0262850028
189	0.02625851294
190	0.02619554386
191	0.02615046276
192	0.02606952461
193	0.02604876237
194	0.02602887576
195	0.02598032815
196	0.02595141088
197	0.02592774996
198	0.0259072878
199	0.02587252516
200	0.02521010595
201	0.02518905541
202	0.02516420934
203	0.02513851778
204	0.02511987024
205	0.02509585012
206	0.0250201061
207	0.02498491561
208	0.02496127043
209	0.0249363144
210	0.0249185545
211	0.02489866854
212	0.02420524032
213	0.02356206017
214	0.02354416491
215	0.0235209166
216	0.02327172786
217	0.02323734009
218	0.0232137364
219	0.02318644614
220	0.02316770647
221	0.02314163268
222	0.02310586788
223	0.02308024944
224	0.02306484421
225	0.02303051253
226	0.02301075796
227	0.02295574531
228	0.02292828203
229	0.0229112799
230	0.02288300361
231	0.02280756169
232	0.02279233847
233	0.02208171645
234	0.02144571275
235	0.02143082093
236	0.02141196843
237	0.02139419401
238	0.02137456736
239	0.02135428825
240	0.02131016346
241	0.02129086946
242	0.02126161216
243	0.02124890478
244	0.02123058717
245	0.02119753455
246	0.02069978982
247	0.02025184911
248	0.0202397867
249	0.02022254338
250	0.02021028264
251	0.0201979281
252	0.0201860409
253	0.02017148604
254	0.02015928506
255	0.02014776992
256	0.02013232586
257	0.01974353098
258	0.01953677856
259	0.01952640126
260	0.01936654605
261	0.01935279926
262	0.01931550193
263	0.01926115124
264	0.01925024052
265	0.01921182074
266	0.01918455615
267	0.01917473148
268	0.01916389248
269	0.01915269324
270	0.0191422529
271	0.01912806485
272	0.01910820848
273	0.01909260555
274	0.01907943459
275	0.01901351349
276	0.01899787502
277	0.01898252509
278	0.01895135156
279	0.01894226596
280	0.01893283327
281	0.01892387886
282	0.01890960534
283	0.01889461142
284	0.01887019089
285	0.01886331297
286	0.01885440402
287	0.01884097927
288	0.01882616254
289	0.01876182474
290	0.01874540907
291	0.01873012408
292	0.01871700096
293	0.0187079647
294	0.01869899707
295	0.01868865517
296	0.0186803627
297	0.01867235016
298	0.01865311486
299	0.01863740052
